,Series,Episode,Name,StarDate
0,,,,
1,TOS,1-1,The Man Trap,1513.1
2,TOS,1-2,Charlie X,1533.6
3,TOS,0-0,Where No Man Has Gone Before,1312.4
4,TOS,1-3,Where No Man Has Gone Before,1312.4
5,TOS,1-4,The Naked Time,1704.2
6,TOS,1-5,The Enemy Within,1672.1
7,TOS,1-6,Mudd's Women,1329.8
8,TOS,1-7,What Are Little Girls Made Of?,2712.4
9,TOS,1-8,Miri,2713.5
10,TOS,1-9,Dagger of the Mind,2715.1
11,TOS,1-10,The Corbomite Maneuver,1512.2
12,TOS,1-11,"The Menagerie, Part I",3012.4
13,TOS,1-12,"The Menagerie, Part II",3013.1
14,TOS,1-13,The Conscience of the King,2817.6
15,TOS,1-14,Balance of Terror,1709.2
16,TOS,1-15,Shore Leave,3025.3
17,TOS,1-16,The Galileo Seven,2821.5
18,TOS,1-17,The Squire of Gothos,2124.5
19,TOS,1-18,Arena,3045.6
20,TOS,1-19,Tomorrow Is Yesterday,3113.2
21,,,,
22,TOS,1-20,Court Martial,2947.3
23,TOS,1-21,The Return of the Archons,3156.2
24,TOS,1-22,Space Seed,3141.9
25,TOS,1-23,A Taste of Armageddon,3192.1
26,TOS,1-24,This Side of Paradise,3417.3
27,TOS,1-25,The Devil in the Dark,3196.1
28,TOS,1-26,Errand of Mercy,3198.4
29,TOS,1-27,The Alternative Factor,3087.6
30,TOS,1-28,The City on the Edge of Forever,Unknown
31,TOS,1-29,Operation: Annihilate!,3287.2
32,TOS,2-30,Amok Time,3372.7
33,TOS,2-31,Who Mourns for Adonais?,3468.1
34,TOS,2-32,The Changeling,3541.9
35,TOS,2-33,"Mirror, Mirror",Unknown
36,TOS,2-34,The Apple,3715.3
37,TOS,2-35,The Doomsday Machine,4202.9
38,TOS,2-36,Catspaw,3018.2
39,TOS,2-37,"I, Mudd",4513.3
40,TOS,2-38,Metamorphosis,3219.4
41,TOS,2-39,Journey to Babel,3842.3
42,,,,
43,TOS,2-40,Friday's Child,3497.2
44,TOS,2-41,The Deadly Years,3478.2
45,TOS,2-42,Obsession,3619.2
46,TOS,2-43,Wolf in the Fold,3614.9
47,TOS,2-44,The Trouble With Tribbles,4523.3
48,TOS,2-45,The Gamesters of Triskelion,3211.7
49,TOS,2-46,A Piece of the Action,4598.0
50,TOS,2-47,The Immunity Syndrome,4307.1
51,TOS,2-48,A Private Little War,4211.4
52,TOS,2-49,Return to Tomorrow,4768.3
53,TOS,2-50,Patterns of Force,2534.0
54,TOS,2-51,By Any Other Name,4657.5
55,TOS,2-52,The Omega Glory,Unknown
56,TOS,2-53,The Ultimate Computer,4729.4
57,TOS,2-54,Bread and Circuses,4040.7
58,TOS,2-55,Assignment: Earth,Unknown
59,TOS,3-56,Spock's Brain,5431.4
60,TOS,3-57,The Enterprise Incident,5027.3
61,TOS,3-58,The Paradise Syndrome,4842.6
62,TOS,3-59,And the Children Shall Lead,5029.5
63,,,,
64,TOS,3-60,Is There in Truth No Beauty?,5630.7
65,TOS,3-61,Spectre of the Gun,4385.3
66,TOS,3-62,Day of the Dove,Unknown
67,TOS,3-63,For the World Is Hollow and I Have Touched the Sky,5476.3
68,TOS,3-64,The Tholian Web,5693.2
69,TOS,3-65,Plato's Stepchildren,5784.2
70,TOS,3-66,Wink of an Eye,5710.5
71,TOS,3-67,The Empath,5121.5
72,TOS,3-68,Elaan of Troyius,4372.5
73,TOS,3-69,Whom Gods Destroy,5718.3
74,TOS,3-70,Let That Be Your Last Battlefield,5730.2
75,TOS,3-71,The Mark of Gideon,5423.4
76,TOS,3-72,That Which Survives,Unknown
77,TOS,3-73,The Lights of Zetar,5725.3
78,TOS,3-74,Requiem for Methuselah,5843.7
79,TOS,3-75,The Way to Eden,5832.3
80,TOS,3-76,The Cloud Minders,5818.4
81,TOS,3-77,The Savage Curtain,5906.4
82,TOS,3-78,All Our Yesterdays,5943.7
83,TOS,3-79,Turnabout Intruder,5928.5
84,,,,
85,TAS,1-1,Beyond the Farthest Star,5521.3
86,TAS,1-2,Yesteryear,5373.4
87,TAS,1-3,One of Our Planets is Missing,5371.3
88,TAS,1-4,The Lorelei Signal,5483.7
89,TAS,1-5,"More Tribbles, More Troubles",5392.4
90,TAS,1-6,The Survivor,5143.3
91,TAS,1-7,The Infinite Vulcan,5554.4
92,TAS,1-8,The Magicks of Megas-tu,1254.4
93,TAS,1-9,Once Upon a Planet,5591.2
94,TAS,1-10,Mudd's Passion,4978.5
95,TAS,1-11,The Terratin Incident,5577.3
96,TAS,1-12,The Time Trap,5267.2
97,TAS,1-13,The Ambergris Element,5499.9
98,TAS,1-14,The Slaver Weapon,4187.3
99,TAS,1-15,The Eye of the Beholder,5501.2
100,TAS,1-16,The Jihad,5683.1
101,TAS,2-17,The Pirates of Orion,6334.1
102,TAS,2-18,Bem,7403.6
103,TAS,2-19,The Practical Joker,3183.3
104,TAS,2-20,Albatross,5275.6
105,,,,
106,TAS,2-21,How Sharper Than a Serpent's Tooth,6063.4
107,TAS,2-22,The Counter-Clock Incident,6770.3
108,Movie,,The Motion Picture,Unknown
109,Movie,,The Wrath of Khan,Unknown
110,Movie,,The Search for Spock,Unknown
111,Movie,,The Voyage Home,Unknown
112,TNG,1-1,Encounter at Farpoint,41153.7
113,TNG,1-2,Encounter at Farpoint,41153.7
114,TNG,1-3,The Naked Now,41209.2
115,TNG,1-4,Code of Honor,41235.25
116,TNG,1-5,The Last Outpost,41386.4
117,TNG,1-6,Where No One Has Gone Before,41263.1
118,TNG,1-7,Lonely Among Us,41249.3
119,TNG,1-8,Justice,41255.6
120,TNG,1-9,The Battle,41723.9
121,TNG,1-10,Hide and Q,41590.5
122,TNG,1-11,Haven,41294.5
123,TNG,1-12,The Big Goodbye,41997.7
124,TNG,1-13,Datalore,41242.4
125,TNG,1-14,Angel One,41636.9
126,,,,
127,TNG,1-15,11001001,41365.9
128,TNG,1-16,Too Short a Season,41309.5
129,TNG,1-17,When the Bough Breaks,41509.1
130,TNG,1-18,Home Soil,41463.9
131,TNG,1-19,Coming of Age,41416.2
132,TNG,1-20,Heart of Glory,41503.7
133,TNG,1-21,The Arsenal of Freedom,41798.2
134,TNG,1-22,Symbiosis,Unknown
135,TNG,1-23,Skin of Evil,41601.3
136,TNG,1-24,We'll Always Have Paris,41697.9
137,TNG,1-25,Conspiracy,41775.5
138,TNG,1-26,The Neutral Zone,41986.0
139,TOS,0-0,The Cage,Unknown
140,TNG,2-1,The Child,42073.1
141,TNG,2-2,Where Silence Has Lease,42193.6
142,TNG,2-3,"Elementary, Dear Data",42286.3
143,TNG,2-4,The Outrageous Okona,42402.7
144,TNG,2-5,Loud as a Whisper,42477.2
145,TNG,2-6,The Schizoid Man,42437.5
146,TNG,2-7,Unnatural Selection,42494.8
147,,,,
148,TNG,2-8,A Matter of Honor,42506.5
149,TNG,2-9,The Measure of a Man,42523.7
150,TNG,2-10,The Dauphin,42568.8
151,TNG,2-11,Contagion,42609.1
152,TNG,2-12,The Royale,42625.4
153,TNG,2-13,Time Squared,42679.2
154,TNG,2-14,The Icarus Factor,42686.4
155,TNG,2-15,Pen Pals,42695.3
156,TNG,2-16,Q Who,42761.3
157,TNG,2-17,Samaritan Snare,42779.1
158,TNG,2-18,Up the Long Ladder,42823.2
159,Movie,,The Final Frontier,Unknown
160,TNG,2-19,Manhunt,42859.2
161,TNG,2-20,The Emissary,42901.3
162,TNG,2-21,Peak Performance,42923.4
163,TNG,2-22,Shades of Gray,42976.1
164,TNG,3-1,Evolution,43125.8
165,TNG,3-2,The Ensigns of Command,43133.3
166,TNG,3-3,The Survivors,43152.4
167,TNG,3-4,Who Watches the Watchers,43173.5
168,,,,
169,TNG,3-5,The Bonding,43198.7
170,TNG,3-6,Booby Trap,43205.6
171,TNG,3-7,The Enemy,43349.2
172,TNG,3-8,The Price,43385.6
173,TNG,3-9,The Vengeance Factor,43421.9
174,TNG,3-10,The Defector,43462.5
175,TNG,3-11,The Hunted,43489.2
176,TNG,3-12,The High Ground,43510.7
177,TNG,3-13,Déjà Q,43539.1
178,TNG,3-14,A Matter of Perspective,43610.4
179,TNG,3-15,Yesterday's Enterprise,43625.2
180,TNG,3-16,The Offspring,43657.0
181,TNG,3-17,Sins of the Father,43685.2
182,TNG,3-18,Allegiance,43714.1
183,TNG,3-19,Captain's Holiday,43745.2
184,TNG,3-20,Tin Man,43779.3
185,TNG,3-21,Hollow Pursuits,43807.4
186,TNG,3-22,The Most Toys,43872.2
187,TNG,3-23,Sarek,43917.4
188,TNG,3-24,Ménage à Troi,43930.7
189,,,,
190,TNG,3-25,Transfigurations,43957.2
191,TNG,3-26,The Best of Both Worlds: Part One,43989.1
192,TNG,4-1,The Best of Both Worlds: Part Two,44001.4
193,TNG,4-2,Family,44012.3
194,TNG,4-3,Brothers,44085.7
195,TNG,4-4,Suddenly Human,44143.7
196,TNG,4-5,Remember Me,44161.2
197,TNG,4-6,Legacy,44215.2
198,TNG,4-7,Reunion,44246.3
199,TNG,4-8,Future Imperfect,44286.5
200,TNG,4-9,Final Mission,44307.3
201,TNG,4-10,The Loss,44356.9
202,TNG,4-11,Data's Day,44390.1
203,TNG,4-12,The Wounded,44429.6
204,TNG,4-13,Devil's Due,44474.5
205,TNG,4-14,Clues,44502.7
206,TNG,4-15,First Contact,Unknown
207,TNG,4-16,Galaxy's Child,44614.6
208,TNG,4-17,Night Terrors,44631.2
209,TNG,4-18,Identity Crisis,44664.5
210,,,,
211,TNG,4-19,The Nth Degree,44704.2
212,TNG,4-20,Qpid,44741.9
213,TNG,4-21,The Drumhead,44769.2
214,TNG,4-22,Half a Life,44805.3
215,TNG,4-23,The Host,44821.3
216,TNG,4-24,The Mind's Eye,44885.5
217,TNG,4-25,In Theory,44932.3
218,TNG,4-26,Redemption: Part One,44995.3
219,TNG,5-1,Redemption: Part Two,45021.3
220,TNG,5-2,Darmok,45047.2
221,TNG,5-3,Ensign Ro,45076.3
222,TNG,5-4,Silicon Avatar,45122.3
223,TNG,5-5,Disaster,45156.1
224,TNG,5-6,The Game,45208.2
225,TNG,5-7,Unification: Part One,45236.4
226,TNG,5-8,Unification: Part Two,45245.8
227,TNG,5-9,A Matter of Time,45349.1
228,Movie,,The Undiscovered Country,Unknown
229,TNG,5-10,New Ground,45376.3
230,TNG,5-11,Hero Worship,45397.3
231,,,,
232,TNG,5-12,Violations,45429.3
233,TNG,5-13,The Masterpiece Society,45470.1
234,TNG,5-14,Conundrum,45494.2
235,TNG,5-15,Power Play,45571.2
236,TNG,5-16,Ethics,45587.3
237,TNG,5-17,The Outcast,45614.6
238,TNG,5-18,Cause and Effect,45652.1
239,TNG,5-19,The First Duty,45703.9
240,TNG,5-20,Cost of Living,45733.6
241,TNG,5-21,The Perfect Mate,45761.3
242,TNG,5-22,Imaginary Friend,45852.1
243,TNG,5-23,I Borg,45854.2
244,TNG,5-24,The Next Phase,45092.4
245,TNG,5-25,The Inner Light,45944.1
246,TNG,5-26,Time's Arrow: Part One,45959.1
247,TNG,6-1,Time's Arrow: Part Two,46001.3
248,TNG,6-2,Realm of Fear,46041.1
249,TNG,6-3,Man of the People,46071.6
250,TNG,6-4,Relics,46125.3
251,TNG,6-5,Schisms,46154.2
252,,,,
253,TNG,6-6,True Q,46192.3
254,TNG,6-7,Rascals,46235.7
255,TNG,6-8,A Fistful of Datas,46271.5
256,TNG,6-9,The Quality of Life,46307.2
257,TNG,6-10,Chain of Command: Part One,46357.4
258,TNG,6-11,Chain of Command: Part Two,46360.8
259,DS9,1-1,"Emissary, Part I",46379.1
260,DS9,1-2,"Emissary, Part II",46392.7
261,DS9,1-3,Past Prologue,Unknown
262,DS9,1-4,A Man Alone,46421.5
263,DS9,1-5,Babel,46423.7
264,TNG,6-12,Ship in a Bottle,46424.1
265,DS9,1-6,Captive Pursuit,Unknown
266,TNG,6-13,Aquiel,46461.3
267,DS9,1-7,Q-Less,46531.2
268,TNG,6-14,Face of the Enemy,46519.1
269,DS9,1-8,Dax,46910.1
270,TNG,6-15,Tapestry,Unknown
271,DS9,1-9,The Passenger,Unknown
272,TNG,6-16,Birthright: Part One,46578.4
273,,,,
274,TNG,6-17,Birthright: Part Two,46759.2
275,DS9,1-10,Move Along Home,Unknown
276,DS9,1-11,The Nagus,Unknown
277,TNG,6-18,Starship Mine,46682.4
278,TNG,6-19,Lessons,46693.1
279,DS9,1-12,Vortex,Unknown
280,DS9,1-13,Battle Lines,Unknown
281,TNG,6-20,The Chase,46731.5
282,DS9,1-14,The Storyteller,46729.1
283,TNG,6-21,Frame of Mind,46778.1
284,DS9,1-15,Progress,46844.3
285,TNG,6-22,Suspicions,46830.1
286,DS9,1-16,If Wishes Were Horses,46853.2
287,TNG,6-23,Rightful Heir,46852.2
288,DS9,1-17,The Forsaken,46925.1
289,TNG,6-24,Second Chances,46915.2
290,DS9,1-18,Dramatis Personae,46922.3
291,DS9,1-19,Duet,Unknown
292,TNG,6-25,Timescape,46944.2
293,DS9,1-20,In the Hands of the Prophets,Unknown
294,,,,
295,TNG,6-26,Descent: Part One,46982.1
296,TNG,7-1,Descent: Part Two,47025.4
297,DS9,2-1,The Homecoming (Part 1),Unknown
298,TNG,7-2,Liaisons,Unknown
299,DS9,2-2,The Circle (Part 2),Unknown
300,TNG,7-3,Interface,47215.5
301,DS9,2-3,The Siege (Part 3),Unknown
302,TNG,7-4,Gambit: Part One,47135.2
303,DS9,2-4,Invasive Procedures,47182.1
304,TNG,7-5,Gambit: Part Two,47160.1
305,DS9,2-5,Cardassians,47177.2
306,TNG,7-6,Phantasms,47225.7
307,DS9,2-6,Melora,47229.1
308,TNG,7-7,Dark Page,47254.1
309,DS9,2-7,Rules of Acquisition,Unknown
310,TNG,7-8,Attached,47304.2
311,DS9,2-8,Necessary Evil,47282.5
312,TNG,7-9,Force of Nature,47310.2
313,DS9,2-9,Second Sight,47329.4
314,TNG,7-10,Inheritance,47410.2
315,,,,
316,DS9,2-10,Sanctuary,47391.2
317,TNG,7-11,Parallels,47391.2
318,DS9,2-11,Rivals,Unknown
319,DS9,2-12,The Alternate,47391.7
320,TNG,7-12,The Pegasus,47457.1
321,TNG,7-13,Homeward,47423.9
322,DS9,2-13,Armageddon Game,Unknown
323,TNG,7-14,Sub Rosa,Unknown
324,DS9,2-14,Whispers,47552.1
325,TNG,7-15,Lower Decks,47566.7
326,DS9,2-15,Paradise,47573.1
327,TNG,7-16,Thine Own Self,47611.2
328,DS9,2-16,Shadowplay,47603.3
329,TNG,7-17,Masks,47615.2
330,DS9,2-17,Playing God,Unknown
331,TNG,7-18,Eye of the Beholder,47622.1
332,DS9,2-18,Profit and Loss,Unknown
333,TNG,7-19,Genesis,47653.2
334,DS9,2-19,Blood Oath,Unknown
335,TNG,7-20,Journey's End,47751.2
336,,,,
337,DS9,2-20,"The Maquis, Part I",Unknown
338,TNG,7-21,Firstborn,47779.4
339,DS9,2-21,"The Maquis, Part II",Unknown
340,TNG,7-22,Bloodlines,47829.1
341,DS9,2-22,The Wire,Unknown
342,TNG,7-23,Emergence,47869.2
343,DS9,2-23,Crossover,Unknown
344,TNG,7-24,Preemptive Strike,47941.7
345,DS9,2-24,The Collaborator,Unknown
346,TNG,7-25,All Good Things...,47988.1
347,TNG,7-26,All Good Things...,47988.1
348,DS9,2-25,Tribunal,47944.2
349,DS9,2-26,The Jem'Hadar,Unknown
350,DS9,3-1,"The Search, Part I",48213.1
351,DS9,3-2,"The Search, Part II",48213.1
352,DS9,3-3,The House of Quark,48224.2
353,DS9,3-4,Equilibrium,48231.7
354,DS9,3-5,Second Skin,48244.5
355,DS9,3-6,The Abandoned,48301.1
356,DS9,3-7,Civil Defense,48388.8
357,,,,
358,DS9,3-8,Meridian,48423.2
359,Movie,,Generations,Unknown
360,DS9,3-9,Defiant,48467.3
361,DS9,3-10,Fascination,48441.6
362,DS9,3-11,"Past Tense, Part I",48481.2
363,DS9,3-12,"Past Tense, Part II",48481.2
364,VOY,1-1,Caretaker,48315.6
365,VOY,1-2,Caretaker,48315.6
366,VOY,1-3,Parallax,48439.7
367,VOY,1-4,Time and Again,Unknown
368,DS9,3-13,Life Support,48498.4
369,DS9,3-14,Heart of Stone,48521.5
370,VOY,1-5,Phage,48532.4
371,VOY,1-6,The Cloud,48546.2
372,DS9,3-15,Destiny,48543.2
373,DS9,3-16,Prophet Motive,48555.5
374,VOY,1-7,Eye of the Needle,48579.4
375,DS9,3-17,Visionary,48576.7
376,VOY,1-8,Ex Post Facto,Unknown
377,VOY,1-9,Emanations,48623.5
378,,,,
379,VOY,1-10,Prime Factors,48642.5
380,VOY,1-11,State of Flux,48658.2
381,DS9,3-18,Distant Voices,48592.2
382,DS9,3-19,Through the Looking Glass,48601.1
383,DS9,3-20,Improbable Cause (Part 1),48620.3
384,VOY,1-12,Heroes and Demons,48693.2
385,VOY,1-13,Cathexis,48734.2
386,DS9,3-21,The Die is Cast (Part 2),48622.5
387,VOY,1-14,Faces,48784.2
388,DS9,3-22,Explorers,48699.9
389,VOY,1-15,Jetrel,48832.1
390,DS9,3-23,Family Business,48731.2
391,VOY,1-16,Learning Curve,48846.5
392,DS9,3-24,Shakaar,48764.8
393,DS9,3-25,Facets,48959.1
394,DS9,3-26,The Adversary,48962.5
395,VOY,2-1,The 37's,48975.1
396,VOY,2-2,Initiations,49005.3
397,VOY,2-3,Projections,48892.1
398,VOY,2-4,Elogium,48921.3
399,,,,
400,VOY,2-5,Non Sequitur,49011.0
401,DS9,4-1,"The Way of the Warrior, Part I",49011.4
402,DS9,4-2,"The Way of the Warrior, Part II",49011.4
403,VOY,2-6,Twisted,Unknown
404,VOY,2-7,Parturition,49068.5
405,DS9,4-3,The Visitor,49037.7
406,DS9,4-4,Hippocratic Oath,49066.5
